project,Java Files,LOC
ant,690,86421
berkeleyparser,314,57905
cglib,194,13668
cloud9,464,56766
cocoon,84,10377
commons-io,103,8673
dom4j,166,17854
eclipse-ant,178,16103
eclipse-jdtcore,741,98111
hadoop-hdfs,341,69990
hadoop-mapred,524,64018
hibernate,820,72387
httpclient,289,18022
j2sdk1.4.0-javax-swing,538,102835
jfreechart,594,93461
junit,175,6728
log4j,207,20611
lucene,160,15670
mahout-core,704,53366
mason,302,35934
netbeans-javadoc,101,9580
nutch,153,12243
pdfbox,124,13936
pig,641,84770
pmd,749,59978
poi,380,47780
postgresql,187,23507
rhino,210,55070
stanford-nlp,752,210222
struts,277,24755
substance,360,47361
synapse-core,468,41612
tomcat-catalina,376,73397
uima-core,141,11942
xerces,615,76184
Total,13122,1711237
