projectName,Java Files,LOC,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,690,86421,718,97.77158,96.65739,97.214485,94.42897,95.12535,97.35376,86.90808,93.17549,82.59052,86.90808,97.35376,0.6963788,72.562675,17.270195,0.6963788
berkeleyparser,314,57905,693,76.33478,62.33766,77.48918,56.13276,63.92496,83.694084,76.623375,87.30159,71.86147,76.623375,83.694084,0.5772006,70.56277,20.34632,0.5772006
cglib,194,13668,27,85.18519,77.77778,88.88889,66.66667,77.77778,74.07407,70.37037,74.07407,59.25926,70.37037,74.07407,0,62.96296,33.333336,0
cloud9,464,56766,3364,80.52913,67.98454,76.27824,53.329372,60.285378,97.88942,95.214035,98.33531,93.608795,95.214035,97.88942,0,77.28894,9.4827585,0
cocoon,84,10377,20,85,100,100,85,85,70,60.000004,90,50,60.000004,70,0,90,10,0
commons-io,103,8673,81,93.827156,75.30865,87.65432,70.37037,82.71605,93.827156,82.71605,93.827156,70.37037,82.71605,93.827156,1.2345679,96.296295,2.4691358,1.2345679
dom4j,166,17854,492,97.76423,71.34146,73.78049,69.71545,71.74796,68.29269,63.617886,67.68293,61.585365,63.617886,68.29269,0,96.13821,0,0
eclipse-ant,178,16103,23,82.608696,95.652176,86.95652,82.608696,82.608696,91.30435,60.869564,91.30435,56.521736,60.869564,91.30435,0,60.869564,0,0
eclipse-jdtcore,741,98111,3952,97.52024,93.95243,96.68523,92.3583,94.787445,53.390686,34.7419,90.18218,28.593117,34.7419,53.390686,0.10121458,87.04454,2.2267206,0.10121458
hadoop-hdfs,341,69990,3804,29.127234,74.57939,96.34595,23.73817,25.473186,96.74027,89.274445,96.37224,87.355415,89.274445,96.74027,0.026288116,89.80021,9.332282,0.026288116
hadoop-mapred,524,64018,339,92.0354,87.315636,95.57522,80.235985,88.200584,93.51032,79.64601,94.39528,78.17109,79.64601,93.51032,1.1799409,80.82596,6.7846613,1.1799409
hibernate,820,72387,363,88.429756,90.909096,96.14325,81.5427,85.12397,85.67493,78.78788,85.39945,72.17631,78.78788,85.67493,0.5509642,81.5427,7.713499,0.5509642
httpclient,289,18022,120,90.833336,85.833336,89.166664,76.666664,80,84.166664,77.5,84.166664,69.166664,77.5,84.166664,0,81.666664,3.3333335,0
j2sdk1.4.0-javax-swing,538,102835,9488,69.171585,98.387436,98.52445,67.74873,67.86467,68.265175,35.307755,68.5919,34.822933,35.307755,68.265175,0.06323777,89.63954,5.649241,0.06323777
jfreechart,594,93461,7234,98.59,96.72381,97.78822,95.35526,96.39204,98.54852,38.650818,97.967926,30.536356,38.650818,98.54852,0.027647221,91.31877,6.5662155,0.027647221
junit,175,6728,26,96.15385,80.769226,88.46153,76.92308,84.61539,96.15385,80.769226,96.15385,80.769226,80.769226,96.15385,15.384616,53.846157,23.076923,15.384616
log4j,207,20611,2196,99.681244,35.928963,99.95446,35.65574,99.635704,64.11658,62.79599,64.98178,62.70492,62.79599,64.11658,0,98.08743,0.36429873,0
lucene,160,15670,94,89.3617,92.55319,88.297874,81.914894,77.65958,82.97873,79.78724,82.97873,68.085106,79.78724,82.97873,1.0638298,61.702126,19.148937,1.0638298
mahout-core,704,53366,309,92.880264,79.288025,94.49838,73.78641,88.025894,94.49838,87.055016,92.55663,81.87702,87.055016,94.49838,0.9708738,67.31392,21.682848,0.9708738
mason,302,35934,2369,86.91431,57.408188,55.128746,49.810047,49.26129,88.34952,86.154495,91.05108,75.137184,86.154495,88.34952,0,98.60701,0.042211905,0
netbeans-javadoc,101,9580,50,100,100,100,100,100,100,96,98,86,96,100,0,56,14,0
nutch,153,12243,39,94.871796,84.61539,92.30769,79.48718,87.17949,89.74359,51.282055,87.17949,43.589745,51.282055,89.74359,0,74.35898,7.692308,0
pdfbox,124,13936,65,100,93.84615,95.38461,93.84615,95.38461,98.46154,64.61539,98.46154,67.69231,64.61539,98.46154,3.0769231,80,15.384616,3.0769231
pig,641,84770,3918,61.868298,96.19704,96.4778,58.167435,58.42267,97.32006,95.89076,97.80501,95.09954,95.89076,97.32006,0.15313937,91.398674,1.8631955,0.15313937
pmd,749,59978,3273,99.511154,97.92239,99.38894,97.43355,98.90009,40.543842,9.868622,93.24778,9.074244,9.868622,40.543842,0,17.56798,81.790405,0
poi,380,47780,5508,99.54612,99.07407,99.56427,98.6565,99.12854,98.14815,97.94844,99.01961,97.51271,97.94844,98.14815,0.01815541,31.390705,0.30864197,0.01815541
postgresql,187,23507,309,84.78964,85.76051,98.381874,71.521034,84.142395,50.809063,41.100323,88.996765,40.45307,41.100323,50.809063,0,95.46925,1.618123,0
rhino,210,55070,221,95.02262,89.140274,96.38009,84.61539,92.30769,91.8552,81.44797,94.57014,71.9457,81.44797,91.8552,0.90497744,69.230774,17.647058,0.90497744
stanford-nlp,752,210222,1475,92.94915,87.18644,92.67797,83.38983,88.33898,83.86441,65.76271,89.01695,59.45763,65.76271,83.86441,1.0169492,45.966103,41.084747,1.0169492
struts,277,24755,1882,99.14984,99.14984,99.30925,98.29968,98.51222,95.80234,94.26143,98.08714,93.25186,94.26143,95.80234,0,98.246544,0,0
substance,360,47361,456,96.929825,86.84211,94.07895,86.4035,91.88596,95.39474,75.8772,85.96491,73.24561,75.8772,95.39474,1.754386,71.271935,5.921053,1.754386
synapse-core,468,41612,242,71.07438,90.495865,97.93388,62.396694,69.421486,90.495865,68.181816,90.495865,64.04959,68.181816,90.495865,0,82.64463,10.330579,0
tomcat-catalina,376,73397,1009,71.556,84.935585,87.809715,56.590683,59.464817,52.527256,35.381565,55.30228,31.714567,35.381565,52.527256,0.09910803,82.16055,0.5946482,0.09910803
uima-core,141,11942,214,61.682243,62.616825,99.532715,24.299067,61.214954,99.532715,78.50468,89.71962,60.280376,78.50468,99.532715,0,96.72897,1.401869,0
xerces,615,76184,732,91.39344,93.57923,97.81421,84.97268,89.20765,88.251366,74.86339,87.15847,68.57923,74.86339,88.251366,0,78.96175,4.9180326,0
Total,13122,1711237,55105,87.14,84.92,92.34,74.12,80.85,84.45,70.22,88.39,65.06,70.22,84.45,0.83,76.56,11.53,0.83
