projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,182,100,100,100,100,100,100,100,100,100,100,100,0,52.197803,45.054947,0
berkeleyparser,88,100,100,100,100,100,100,100,100,100,100,100,0,47.727272,31.818182,0
cloud9,339,100,100,100,100,100,100,100,100,100,100,100,0,72.271385,4.1297936,0
commons-io,12,100,100,100,100,100,100,100,100,100,100,100,0,91.66667,8.333334,0
dom4j,10,100,100,100,100,100,100,100,100,100,100,100,0,70,0,0
eclipse-ant,22,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
eclipse-jdtcore,236,100,100,100,100,100,100,100,100,98.72881,100,100,0,84.32204,1.2711864,0
hadoop-hdfs,93,100,100,100,100,100,100,100,100,100,100,100,0,84.946236,10.752688,0
hadoop-mapred,40,100,100,100,100,100,100,100,100,100,100,100,0,52.499996,22.5,0
hibernate,25,100,100,100,100,100,100,100,100,100,100,100,0,68,16,0
httpclient,11,100,100,100,100,100,100,100,100,100,100,100,0,45.454548,0,0
j2sdk1.4.0-javax-swing,4745,100,100,100,100,100,100,100,100,99.95785,100,100,0,88.1138,10.179136,0
jfreechart,279,100,100,100,100,100,100,100,100,99.28315,100,100,0,84.946236,8.960573,0
junit,4,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0
log4j,15,100,100,100,100,100,100,100,100,100,100,100,0,66.66667,20,0
lucene,16,100,100,100,100,100,100,100,100,100,100,100,0,68.75,12.5,0
mahout-core,70,100,100,100,100,100,100,100,100,100,100,100,0,40,48.57143,0
mason,495,100,100,100,100,100,100,100,100,100,100,100,0,96.76768,0,0
netbeans-javadoc,13,100,100,100,100,100,100,100,100,100,100,100,0,76.92308,7.692308,0
pdfbox,15,100,100,100,100,100,100,100,100,100,100,100,0,86.666664,13.333334,0
pig,668,100,100,100,100,100,100,100,100,100,100,100,0,95.35928,2.5449102,0
pmd,83,100,100,100,100,100,100,100,100,100,100,100,0,75.90361,16.86747,0
poi,112,100,100,100,100,100,100,100,100,100,100,100,0,98.21429,1.7857144,0
postgresql,8,100,100,100,100,100,100,100,100,100,100,100,0,75,12.5,0
rhino,9,100,100,100,100,100,100,100,100,100,100,100,0,77.77778,11.111112,0
stanford-nlp,272,100,100,100,100,100,100,100,100,100,100,100,0,29.779411,59.191177,0
struts,974,100,100,100,100,100,100,100,100,100,100,100,0,99.17864,0,0
substance,39,100,100,100,100,100,100,100,100,100,100,100,0,58.97436,7.692308,0
synapse-core,16,100,100,100,100,100,100,100,100,100,100,100,0,18.75,75,0
tomcat-catalina,38,100,100,100,100,100,100,100,100,100,100,100,0,78.94737,5.263158,0
uima-core,6,100,100,100,100,100,100,100,100,100,100,100,0,83.33333,16.666668,0
xerces,164,100,100,100,100,100,100,100,100,100,100,100,0,90.2439,3.0487804,0
Total,9099,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.94,100.00,100.00,0.00,70.61,17.90,0.00
