projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,981,97.45158,96.1264,96.22834,93.57798,93.67992,98.36901,32.4159,92.76249,22.120285,32.4159,98.36901,0,78.08359,20.489296,0
berkeleyparser,149,63.758392,94.630875,96.644295,58.389263,60.402687,82.55034,51.677853,76.51006,34.89933,51.677853,82.55034,0,81.879196,17.449665,0
cglib,6,66.66667,50,50,50,50,50,33.333336,50,33.333336,33.333336,50,0,83.33333,16.666668,0
cloud9,496,76.411285,62.298386,68.548386,44.35484,50.60484,100,96.57258,100,96.16935,96.57258,100,0,84.27419,10.887096,0
cocoon,2,100,100,100,100,100,100,0,100,0,0,100,0,50,50,0
commons-io,43,100,88.37209,88.37209,88.37209,88.37209,76.74419,62.7907,74.4186,53.488373,62.7907,76.74419,0,100,0,0
dom4j,146,95.20548,31.506847,34.931507,28.767124,32.19178,88.35617,70.54794,86.30137,65.753426,70.54794,88.35617,0,89.72603,1.369863,0
eclipse-ant,131,100,94.656494,94.656494,94.656494,94.656494,96.183205,19.847328,87.0229,11.450381,19.847328,96.183205,0,95.419846,0,0
eclipse-jdtcore,3412,87.778435,91.471275,92.6143,79.806564,80.77374,46.219227,35.96131,82.32708,28.604925,35.96131,46.219227,0,83.73388,0.5568582,0
hadoop-hdfs,1777,37.76027,92.12155,92.23411,29.881823,29.994371,88.46371,65.95386,86.71919,64.096794,65.95386,88.46371,0,79.00957,20.934158,0
hadoop-mapred,70,97.14286,95.71428,100,94.28571,97.14286,95.71428,47.142857,85.71429,47.142857,47.142857,95.71428,0,78.57143,5.714286,0
hibernate,76,80.26315,97.368416,98.68421,78.94737,78.94737,82.89474,59.210526,75,55.263157,59.210526,82.89474,0,88.15789,6.5789475,0
httpclient,105,34.285717,89.52381,93.333336,23.809525,27.61905,38.095238,18.095238,38.095238,15.238096,18.095238,38.095238,0,95.2381,1.904762,0
j2sdk1.4.0-javax-swing,8257,90.60191,78.054985,78.90275,76.55322,77.32833,69.637886,15.586776,57.22417,14.908563,15.586776,69.637886,0,97.29926,0.18166403,0
jfreechart,4852,97.732895,91.63232,96.9291,89.36521,94.661995,98.103874,22.794724,89.88046,19.084913,22.794724,98.103874,0,96.61995,1.9167354,0
junit,11,100,27.272728,27.272728,27.272728,27.272728,100,18.181818,100,18.181818,18.181818,100,0,100,0,0
log4j,21,80.952385,95.2381,95.2381,76.190475,76.190475,76.190475,28.57143,71.42857,23.809525,28.57143,76.190475,0,71.42857,9.523809,0
