projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,170,99.41176,94.117645,95.29412,93.52941,94.70588,98.82353,92.94118,95.88235,91.17647,92.94118,98.82353,0,85.882355,4.117647,0
berkeleyparser,230,96.52174,57.826088,72.608696,56.086956,70.434784,93.04348,88.26087,92.608696,86.95652,88.26087,93.04348,0.8695652,64.347824,26.956522,0.8695652
cglib,1,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0
cloud9,972,83.23045,60.288067,71.19341,49.074074,57.20165,99.794235,97.3251,99.485596,97.22222,97.3251,99.794235,0,83.12757,10.802469,0
cocoon,2,100,100,100,100,100,100,0,100,0,0,100,0,50,50,0
commons-io,26,100,53.846157,84.61539,53.846157,84.61539,100,92.30769,100,80.769226,92.30769,100,3.846154,96.15385,0,3.846154
dom4j,89,100,37.07865,38.202248,37.07865,38.202248,98.8764,94.38203,98.8764,92.134834,94.38203,98.8764,0,91.01124,0,0
eclipse-ant,8,100,100,100,100,100,100,87.5,100,87.5,87.5,100,0,62.5,0,0
eclipse-jdtcore,779,95.7638,89.21695,91.65597,86.13607,87.80488,93.58151,84.210526,89.73042,79.07574,84.210526,93.58151,0,53.915276,3.8510911,0
hadoop-hdfs,530,23.207546,95.84905,95.84905,19.056602,19.056602,100,99.62264,100,99.0566,99.62264,100,0,97.735855,1.509434,0
hadoop-mapred,65,98.46154,86.15385,95.38461,86.15385,93.84615,100,86.15385,95.38461,84.61539,86.15385,100,0,81.53846,6.1538463,0
hibernate,77,90.909096,96.1039,96.1039,88.31169,88.31169,90.909096,85.71429,92.20779,84.41559,85.71429,90.909096,0,81.818184,5.194805,0
httpclient,36,97.22222,83.33333,80.55556,80.55556,77.77778,88.88889,83.33333,91.66667,80.55556,83.33333,88.88889,0,80.55556,2.777778,0
j2sdk1.4.0-javax-swing,1566,99.80843,99.48914,99.68072,99.29757,99.48914,99.74457,95.14687,98.91443,94.699875,95.14687,99.74457,0,89.0166,3.192848,0
jfreechart,541,99.26063,83.91867,89.46396,83.54898,88.72459,99.44547,89.83364,98.521255,87.985214,89.83364,99.44547,0,91.68207,2.5878003,0
junit,3,100,100,100,100,100,100,100,100,100,100,100,33.333336,0,66.66667,33.333336
log4j,11,90.909096,100,100,90.909096,90.909096,90.909096,72.72727,90.909096,81.818184,72.72727,90.909096,0,72.72727,9.090909,0
lucene,32,78.125,90.625,87.5,68.75,65.625,59.375,53.125,62.5,43.75,53.125,59.375,3.125,59.375,12.5,3.125
mahout-core,80,93.75,81.25,93.75,77.5,88.75,100,96.25,98.75,91.25,96.25,100,0,77.5,15.000001,0
mason,476,73.949585,49.57983,44.11765,43.277313,38.445377,77.731094,76.050415,86.974785,73.739494,76.050415,77.731094,0,78.9916,0,0
netbeans-javadoc,24,100,100,100,100,100,100,100,100,87.5,100,100,0,70.83333,4.166667,0
nutch,7,100,71.42857,71.42857,71.42857,71.42857,85.71429,71.42857,71.42857,71.42857,71.42857,85.71429,0,100,0,0
pdfbox,12,100,100,100,100,100,100,75,100,75,75,100,0,58.333332,33.333336,0
pig,923,68.255684,96.424706,96.64139,64.68039,64.89707,97.07476,95.124596,97.61647,94.25786,95.124596,97.07476,0.43336946,88.94908,3.0335863,0.43336946
pmd,177,100,90.96046,96.61017,90.96046,96.61017,75.706215,38.98305,81.35593,31.638416,38.98305,75.706215,0,59.887005,34.463276,0
poi,388,99.48454,96.13402,97.42268,95.87629,97.16495,100,100,100,100,100,100,0,97.68041,2.3195875,0
postgresql,32,96.875,84.375,96.875,81.25,93.75,100,96.875,100,96.875,96.875,100,0,93.75,6.25,0
rhino,31,100,80.645164,96.77419,80.645164,96.77419,93.548386,74.19355,93.548386,64.51613,74.19355,93.548386,6.4516125,51.6129,19.354837,6.4516125
stanford-nlp,544,96.507355,90.80882,93.19853,89.338234,91.911766,92.27941,63.786762,93.0147,60.477943,63.786762,92.27941,1.1029412,31.617647,50.551468,1.1029412
struts,137,97.81022,99.27007,99.27007,97.08029,97.08029,96.350365,94.16058,91.9708,85.40146,94.16058,96.350365,0,94.89051,0,0
substance,90,91.111115,84.44444,98.888885,83.33333,90,100,61.11111,68.88889,60.000004,61.11111,100,0,70,10,0
synapse-core,44,88.63636,72.72727,100,63.636364,88.63636,97.72727,63.636364,97.72727,63.636364,63.636364,97.72727,0,68.181816,13.636364,0
tomcat-catalina,84,91.66667,88.09524,85.71429,83.33333,80.952385,91.66667,52.380955,72.61904,47.61905,52.380955,91.66667,0,90.47619,1.1904762,0
uima-core,18,94.44444,66.66667,100,61.11111,94.44444,100,100,100,83.33333,100,100,0,83.33333,0,0
xerces,217,97.695854,88.01843,96.31336,85.71429,94.47005,83.870964,81.10599,88.94009,70.96774,81.10599,83.870964,0,79.7235,4.608295,0
total,8422,92.66,84.82,90.43,78.90,84.06,94.43,81.22,92.84,77.98,81.22,94.43,1.40,72.49,11.52,1.40
