projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,765,75.55556,87.32026,87.45098,62.87582,63.00654,81.43791,23.660131,78.30065,18.300653,23.660131,81.43791,2.2222223,76.07843,11.764706,2.2222223
berkeleyparser,331,84.29002,60.422962,73.413895,58.61027,69.18429,63.141994,51.963745,67.06949,49.848946,51.963745,63.141994,0.6042296,71.601204,23.86707,0.6042296
cglib,11,63.636364,45.454548,54.545456,45.454548,45.454548,72.72727,72.72727,72.72727,54.545456,72.72727,72.72727,0,63.636364,27.272728,0
cloud9,571,81.43608,63.047283,76.007,54.816116,61.646236,99.47461,94.57093,98.42382,93.52014,94.57093,99.47461,0,86.33975,11.383538,0
cocoon,5,100,60.000004,80,60.000004,80,60.000004,40,60.000004,40,40,60.000004,0,80,20,0
commons-io,36,97.22222,75,91.66667,72.22222,88.88889,66.66667,61.11111,66.66667,55.555557,61.11111,66.66667,2.777778,97.22222,0,2.777778
dom4j,75,32,84,84,21.333334,21.333334,33.333336,20,37.333332,17.333334,20,33.333336,5.3333335,61.333336,2.6666667,5.3333335
eclipse-ant,97,91.75258,70.10309,70.10309,61.855667,61.855667,86.59794,24.742268,85.56701,15.463917,24.742268,86.59794,0,89.69072,0,0
eclipse-jdtcore,5262,78.01216,93.12048,93.61459,71.41771,71.91182,42.379322,47.472443,76.52984,39.471684,47.472443,42.379322,0,69.365265,0.43709618,0
hadoop-hdfs,981,95.616714,75.33129,75.535164,71.04995,71.25382,99.18451,22.018349,95.310905,19.062181,22.018349,99.18451,0,95.0051,4.383282,0
hadoop-mapred,102,81.37254,84.31373,87.2549,68.62746,71.56863,74.5098,56.862747,74.5098,55.88235,56.862747,74.5098,2.9411764,81.37254,10.784314,2.9411764
hibernate,93,84.946236,86.02151,92.47312,73.11828,78.49463,86.02151,68.81721,82.7957,55.91398,68.81721,86.02151,1.0752689,77.41935,8.602151,1.0752689
