projectName, Java Files,LOC,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
1_tullibee,20,3236,26,96.15385,69.230774,69.230774,65.38461,65.38461,57.692307,7.692308,26.923079,7.692308,7.692308,57.692307,0,96.15385,3.846154,0
2_a4j,45,3602,137,100,94.89051,100,94.89051,100,80.29197,19.70803,88.32117,16.058393,19.70803,80.29197,0,100,0,0
4_rif,15,953,3,100,33.333336,100,33.333336,100,100,100,100,100,100,100,0,0,100,0
6_jnfe,68,2096,7,100,100,100,100,100,57.14286,57.14286,100,57.14286,57.14286,57.14286,0,100,0,0
7_sfmis,19,1288,3,100,100,100,100,100,100,66.66667,100,66.66667,66.66667,100,0,100,0,0
8_gfarcegestionfa,50,3662,11,81.818184,90.909096,100,72.72727,81.818184,90.909096,54.545456,90.909096,54.545456,54.545456,90.909096,0,63.636364,27.272728,0
9_falselight,8,372,2,100,100,100,100,100,100,50,100,50,50,100,0,100,0,0
10_water-simulator,49,6502,16,100,87.5,62.5,87.5,62.5,87.5,62.5,93.75,62.5,62.5,87.5,0,37.5,62.5,0
12_dsachat,32,3860,15,100,86.666664,86.666664,86.666664,86.666664,100,93.333336,100,93.333336,93.333336,100,0,40,46.666668,0
13_jdbacl,126,18404,6116,99.68934,99.836494,99.95094,99.54218,99.64029,1.8966645,19.211903,91.69392,16.971878,19.211903,1.8966645,0,99.852844,0.147155,0
14_omjstate,23,593,3,100,100,100,100,100,100,0,33.333336,0,0,100,0,0,100,0
15_beanbin,88,3788,11,90.909096,100,100,90.909096,90.909096,90.909096,90.909096,81.818184,72.72727,90.909096,90.909096,0,72.72727,27.272728,0
17_inspirento,36,2427,36,97.22222,97.22222,97.22222,94.44444,94.44444,100,25,47.22222,22.222223,25,100,0,72.22222,0,0
18_jsecurity,296,13133,33,93.93939,60.606064,66.66667,57.575756,60.606064,72.72727,54.545456,75.757576,51.515152,54.545456,72.72727,0,66.66667,3.030303,0
19_jmca,25,14882,6835,100,99.98537,98.844185,99.98537,98.844185,61.492317,0.86320406,93.24067,0.42428678,0.86320406,61.492317,0,9.86101,90.08047,0
21_geo-google,62,6623,456,99.7807,100,100,99.7807,99.7807,100,100,100,100,100,100,0,100,0,0
22_byuic,12,5868,13,100,100,92.30769,100,92.30769,92.30769,53.846157,84.61539,38.46154,53.846157,92.30769,0,7.692308,84.61539,0
23_jwbf,69,5848,60,96.666664,100,100,96.666664,96.666664,91.66667,98.333336,98.333336,95,98.333336,91.66667,0,35,5,0
24_saxpath,16,2619,97,100,98.96907,98.96907,98.96907,98.96907,5.1546392,30.927834,42.26804,19.58763,30.927834,5.1546392,0,1.0309278,0,0
25_jni-inchi,24,1156,7,57.14286,57.14286,57.14286,28.57143,28.57143,100,85.71429,100,42.857143,85.71429,100,0,100,0,0
27_gangup,95,11088,32,100,100,100,100,100,100,53.125,81.25,53.125,53.125,100,0,87.5,9.375,0
29_apbsmem,50,4404,84,100,100,100,100,100,98.809525,91.66667,98.809525,89.28571,91.66667,98.809525,0,23.809525,8.333334,0
30_bpmail,37,1681,1,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0
31_xisemele,56,1805,6,50,66.66667,50,16.666668,0,100,50,100,50,50,100,0,100,0,0
32_httpanalyzer,19,3580,46,95.652176,93.478264,89.13044,89.13044,84.78261,100,76.08696,93.478264,71.73913,76.08696,100,0,78.26087,21.73913,0
