projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
1_tullibee,10,100,100,100,100,100,50,10,20,10,10,50,0,100,0,0
2_a4j,228,99.1228,43.85965,44.736843,42.982456,43.85965,78.94737,2.631579,89.03509,0,2.631579,78.94737,0,100,0,0
4_rif,2,100,0,100,0,100,100,100,100,100,100,100,0,0,100,0
6_jnfe,3,100,100,100,100,100,0,0,100,0,0,0,0,100,0,0
8_gfarcegestionfa,5,60.000004,60.000004,60.000004,20,20,100,0,80,0,0,100,0,80,0,0
10_water-simulator,29,100,100,100,100,100,100,100,100,100,100,100,0,96.55172,3.4482758,0
11_imsmart,3,0,100,100,0,0,100,100,100,100,100,100,0,100,0,0
12_dsachat,3,100,66.66667,66.66667,66.66667,66.66667,100,66.66667,100,66.66667,66.66667,100,0,0,100,0
13_jdbacl,177,97.74011,99.43503,99.43503,97.17514,97.17514,10.169491,2.8248587,54.80226,1.6949153,2.8248587,10.169491,0,99.43503,0.56497175,0
15_beanbin,6,83.33333,83.33333,83.33333,66.66667,66.66667,83.33333,100,83.33333,66.66667,100,83.33333,0,100,0,0
17_inspirento,6,100,100,100,100,100,100,16.666668,16.666668,16.666668,16.666668,100,0,100,0,0
18_jsecurity,33,93.93939,42.424244,60.606064,36.363636,54.545456,63.636364,27.272728,60.606064,21.212122,27.272728,63.636364,0,78.78788,0,0
19_jmca,5756,100,99.98263,99.98263,99.98263,99.98263,66.000694,0.19110493,99.58304,0.10423906,0.19110493,66.000694,0,0.9381515,99.061844,0
21_geo-google,1871,3.474078,100,100,3.474078,3.474078,6.0929985,2.3516836,11.544628,1.1758418,2.3516836,6.0929985,0,100,0,0
22_byuic,5,100,100,100,100,100,100,80,80,60.000004,80,100,0,0,100,0
23_jwbf,16,93.75,100,100,93.75,93.75,75,75,81.25,75,75,75,0,37.5,0,0
24_saxpath,3,100,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,0,33.333336,0,0
25_jni-inchi,4,25,100,100,25,25,100,100,100,50,100,100,0,100,0,0
27_gangup,11,100,100,100,100,100,100,0,54.545456,0,0,100,0,100,0,0
29_apbsmem,33,100,87.878784,87.878784,87.878784,87.878784,75.757576,63.636364,100,63.636364,63.636364,75.757576,0,78.78788,0,0
30_bpmail,1,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0
31_xisemele,80,0,100,100,0,0,38.75,82.5,87.5,48.75,82.5,38.75,0,100,0,0
32_httpanalyzer,15,100,100,100,100,100,100,66.66667,100,66.66667,66.66667,100,0,66.66667,33.333336,0
33_javaviewcontrol,80,100,100,100,100,100,100,0,100,0,0,100,0,0,100,0
34_sbmlreader2,4,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0
35_corina,40,85,100,100,85,85,95,70,90,62.5,70,95,0,72.5,20,0
36_schemaspy,5,100,100,100,100,100,80,0,40,0,0,80,0,80,20,0
37_petsoar,2,100,100,100,100,100,50,50,50,50,50,50,0,100,0,0
38_javabullboard,11,100,100,100,100,100,81.818184,81.818184,90.909096,54.545456,81.818184,81.818184,0,100,0,0
