projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
1_tullibee,1,100,100,100,100,100,100,0,0,0,0,100,0,100,0,0
2_a4j,62,100,82.258064,100,82.258064,100,83.870964,3.2258062,85.48387,0,3.2258062,83.870964,0,100,0,0
4_rif,1,100,0,100,0,100,100,100,100,100,100,100,0,0,100,0
6_jnfe,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
7_sfmis,2,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
8_gfarcegestionfa,2,100,50,100,50,100,50,50,50,50,50,50,0,100,0,0
9_falselight,2,100,100,100,100,100,100,50,100,50,50,100,0,100,0,0
10_water-simulator,31,100,100,100,100,100,100,96.77419,100,96.77419,96.77419,100,0,93.548386,6.4516125,0
12_dsachat,3,100,66.66667,66.66667,66.66667,66.66667,100,66.66667,100,66.66667,66.66667,100,0,66.66667,33.333336,0
13_jdbacl,175,99.42857,100,100,99.42857,99.42857,10.857142,3.4285712,54.85714,2.2857141,3.4285712,10.857142,0,99.42857,0.57142854,0
15_beanbin,3,100,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,33.333336,33.333336,33.333336,33.333336
17_inspirento,6,100,83.33333,83.33333,83.33333,83.33333,100,83.33333,66.66667,83.33333,83.33333,100,0,100,0,0
