projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
1_tullibee,13,92.30769,46.153847,46.153847,38.46154,38.46154,61.538464,15.384616,38.46154,15.384616,15.384616,61.538464,0,92.30769,7.692308,0
2_a4j,67,98.50746,97.01493,100,95.522385,98.50746,94.02985,74.62686,95.522385,71.64179,74.62686,94.02985,0,100,0,0
4_rif,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0
6_jnfe,3,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
7_sfmis,2,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
8_gfarcegestionfa,1,100,100,100,100,100,100,0,100,0,0,100,0,0,0,0
9_falselight,1,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0
10_water-simulator,4,100,100,100,100,100,100,50,100,50,50,100,0,50,50,0
12_dsachat,1,0,100,100,0,0,100,0,100,0,0,100,0,100,0,0
13_jdbacl,5935,99.81466,99.88206,99.98315,99.69672,99.797806,1.432182,19.612469,92.80539,17.455772,19.612469,1.432182,0,100,0,0
14_omjstate,1,100,100,100,100,100,100,0,0,0,0,100,0,0,100,0
15_beanbin,5,60.000004,80,80,40,40,100,80,60.000004,20,80,100,0,80,20,0
17_inspirento,2,50,100,100,50,50,100,100,50,100,100,100,0,100,0,0
18_jsecurity,23,91.30435,39.130436,56.521736,30.434782,47.826088,65.21739,34.782608,65.21739,34.782608,34.782608,65.21739,0,56.521736,0,0
19_jmca,1989,100,100,100,100,100,75.91755,0.6033183,97.38562,0.25138262,0.6033183,75.91755,0,4.022122,95.87733,0
22_byuic,2,100,100,100,100,100,50,0,50,0,0,50,0,50,50,0
23_jwbf,22,86.36364,100,100,86.36364,86.36364,59.090908,68.181816,86.36364,63.636364,68.181816,59.090908,0,50,13.636364,0
24_saxpath,5,100,100,100,100,100,20,40,80,40,40,20,0,0,0,0
25_jni-inchi,15,13.333334,46.666668,46.666668,0,0,86.666664,73.333336,86.666664,60.000004,73.333336,86.666664,0,100,0,0
27_gangup,6,100,100,100,100,100,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,0,83.33333,16.666668,0
29_apbsmem,21,100,100,100,100,100,61.904762,61.904762,100,61.904762,61.904762,61.904762,0,76.190475,0,0
31_xisemele,38,7.8947363,89.47369,89.47369,2.631579,2.631579,28.947369,76.31579,73.68421,36.842106,76.31579,28.947369,0,100,0,0
32_httpanalyzer,5,100,20,20,20,20,100,20,40,20,20,100,0,20,80,0
33_javaviewcontrol,18,100,100,100,100,100,27.777779,0,38.88889,0,0,27.777779,0,66.66667,27.777779,0
35_corina,40,90,92.5,92.5,82.5,82.5,80,57.5,77.5,57.5,57.5,80,5,62.5,20,5
36_schemaspy,10,70,100,100,70,70,40,0,30.000002,0,0,40,0,60.000004,40,0
38_javabullboard,18,27.777779,16.666668,94.44444,16.666668,22.222223,94.44444,61.11111,94.44444,44.444447,61.11111,94.44444,0,77.77778,16.666668,0
40_glengineer,10,90,80,100,70,90,60.000004,30.000002,60.000004,20,30.000002,60.000004,0,70,30.000002,0
41_follow,2,100,100,100,100,100,100,100,100,50,100,100,0,100,0,0
42_asphodel,3,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
43_lilith,187,95.187164,94.652405,94.652405,93.04813,93.04813,89.83957,81.818184,89.30481,81.28342,81.818184,89.83957,0,83.95722,11.764706,0
